"Economic Development, Jobs, Transport and Resources-Regional Development-Regional Partnerships and Economic Projects ",9.5
"Economic Development, Jobs, Transport and Resources-Resources",16.3
"Economic Development, Jobs, Transport and Resources-Small Business Innovation and Trade-Building international networks ",1
"Economic Development, Jobs, Transport and Resources-Small Business Innovation and Trade-Small business success in the digital economy",2.3
"Economic Development, Jobs, Transport and Resources-Tourism and Major Events",17.5
"Economic Development, Jobs, Transport and Resources-Transport Network Safety, Operation and Development-Enhancing safety on the train network",1
"Economic Development, Jobs, Transport and Resources-Transport Network Safety, Operation and Development-Network development %E2%80%93 Planning our future",9.2
"Economic Development, Jobs, Transport and Resources-Transport Network Safety, Operation and Development-Network transition program",48.7
"Economic Development, Jobs, Transport and Resources-Transport Network Safety, Operation and Development-Keeping Melbourne Moving",7.4
"Economic Development, Jobs, Transport and Resources-Transport Network Safety, Operation and Development-Optimising transport network performance and productivit",4.9
"Economic Development, Jobs, Transport and Resources-Transport Network Safety, Operation and Development-Strong bridges, stronger economy ",1.7
"Economic Development, Jobs, Transport and Resources-Metropolitan Roads-M80 Ring Road upgrade",1.3
"Economic Development, Jobs, Transport and Resources-Metropolitan Roads-Metropolitan road restoration and road surface replacement",52.9
"Economic Development, Jobs, Transport and Resources-Metropolitan Roads-Monash corridor upgrade %E2%80%93 Stage 2",4
"Economic Development, Jobs, Transport and Resources-Metropolitan Roads-Monash Freeway Truck Speed Trial ",0.6
"Economic Development, Jobs, Transport and Resources-Metropolitan Roads-School Crossings Program",4.9
"Economic Development, Jobs, Transport and Resources-Metropolitan Roads-Urban congestion package",0.9
"Economic Development, Jobs, Transport and Resources-Metropolitan Roads-West Gate Bridge maintenance",7.7
"Economic Development, Jobs, Transport and Resources-Regional Roads-Improving the South Gippsland Highway ",0.2
"Economic Development, Jobs, Transport and Resources-Regional Roads-Regional and rural roads package",5.7
"Economic Development, Jobs, Transport and Resources-Regional Roads-Regional road restoration and road surface replacement",215.3
"Economic Development, Jobs, Transport and Resources-Regional Roads-Regional road upgrades",1.1
"Economic Development, Jobs, Transport and Resources-Regional Roads-Shepparton Bypass ",0.5
"Economic Development, Jobs, Transport and Resources-Metropolitan Public Transport-Hurstbridge line Upgrade Stage 2 %E2%80%93 Planning and development",5
"Economic Development, Jobs, Transport and Resources-Metropolitan Public Transport-Fishermans Bend public transport connections",0.4
"Economic Development, Jobs, Transport and Resources-Metropolitan Public Transport-Improving Melbourne%E2%80%99s busiest train stations",7.6
"Economic Development, Jobs, Transport and Resources-Metropolitan Public Transport-More train, tram and bus services ",13.9
"Economic Development, Jobs, Transport and Resources-Metropolitan Public Transport-Ongoing delivery of Night Network",42
"Economic Development, Jobs, Transport and Resources-Regional Public Transport-Major periodic maintenance on the regional rail network",6.9
"Economic Development, Jobs, Transport and Resources-Regional Public Transport-More regional trains",1.5
"Economic Development, Jobs, Transport and Resources-Regional Public Transport-Shepparton Line Upgrade and additional services",1.6
Homes for Victorians-Increasing the supply of housing,9.9
Homes for Victorians-Promoting stability for renters,0.9
Homes for Victorians-Supporting home ownership,11.6
Homes for Victorians-Victorians in need,13
Health and Human Services-Acute Health Services-Addressing occupational violence against health workers and workplace bullying,1.5
Health and Human Services-Acute Health Services-Better Care Victoria Innovation Fund,10
"Health and Human Services-Acute Health Services-Delivering better, earlier and more integrated care",5.1
Health and Human Services-Acute Health Services-Genomic testing for rare undiagnosed conditions,2
Health and Human Services-Acute Health Services-Implementation of quality and safety reforms ,44.5
"Health and Human Services-Better, Safer Care-Improving access to elective surgery",174.3
"Health and Human Services-Better, Safer Care-Improving access to the Victorian Patient Transport Assistance Scheme",2
"Health and Human Services-Better, Safer Care-Independent oversight and service delivery ",8.5
"Health and Human Services-Better, Safer Care-Meeting hospital services demand ",392.2
"Health and Human Services-Better, Safer Care-Statewide health infrastructure planning",2.5
"Health and Human Services-Ageing, Aged and Home Care-Future public sector residential aged care provision",25.6
"Health and Human Services-Ageing, Aged and Home Care-Home and Community Care Program for Younger People",2.9
Health and Human Services-Ambulance Services,13.1
Health and Human Services-Child Protection and Family Services ,2
Health and Human Services-Concessions to Pensioners and Beneficiaries,18
Health and Human Services-Disability Services-More support for young people with a disability,9.7
Health and Human Services-Disability Services-Strengthening oversight to reduce abuse in disability services ,3
Health and Human Services-Disability Services-Supporting the transition to the National Disability Insurance Scheme,20.9
Health and Human Services-Empowering Individuals and Communities-Change our Game %E2%80%93 Increasing female participation in sport,1.5
Health and Human Services-Empowering Individuals and Communities-Melbourne Park Redevelopment %E2%80%93 stage 3,0.1
Health and Human Services-Empowering Individuals and Communities-Open Place and Care Leavers Network of Australia %E2%80%93 Additional support,1
Health and Human Services-Empowering Individuals and Communities-Pathways to Exit %E2%80%93 Expansion,1
Health and Human Services-Empowering Individuals and Communities-Public swimming pool safety,0.7
Health and Human Services-Empowering Individuals and Communities-Shooting Sports Facilities Program,1
Health and Human Services-Empowering Individuals and Communities-Significant Sporting Events Program supplementation,1
Health and Human Services-Empowering Individuals and Communities-Sports Infrastructure Fund ,18.1
Health and Human Services-Empowering Individuals and Communities-State Disability Plan 2017%E2%80%932020 ,4.9
Health and Human Services-Empowering Individuals and Communities-State Sport Centres Trust,4.8
Health and Human Services-Empowering Individuals and Communities-Supporting young people,1.5
Health and Human Services-Empowering Individuals and Communities-Victorian Home of Golf and National High Performance Centre,8
Health and Human Services-Empowering Individuals and Communities-Gender Equality and the Prevention of Family Violence Policy and Programs,2.3
Health and Human Services-Empowering Individuals and Communities-Delivering Safe and Strong%E2%80%93 A Victorian gender equality strategy,1.2
Health and Human Services-Mental Health-Forensic mental health implementation plan %E2%80%93 Priority service reforms,4.1
Health and Human Services-Mental Health-Meeting clinical services demand,46.9
Health and Human Services-Mental Health-Perinatal depression funding,1.6
Health and Human Services-Mental Health-Strengthening clinical inpatient mental health services,2.2
Health and Human Services-Mental Health-Sustainable statutory entities %E2%80%93 Mental Health Tribunal,1.9
Health and Human Services-Public Health-Delivering on Victoria%E2%80%99s cancer plan,3.7
Health and Human Services-Public Health-Health and medical research,9
"Health and Human Services-Public Health-Thunderstorm asthma and other extreme weather events %E2%80%93 Enhancing preparedness, response and community education",5.9
